x1,x2,peak,cosineSim
0,0,14,1.0
1,1,14,1.0
2,2,14,1.0
3,3,14,1.0
4,4,14,1.0
5,5,14,1.0
6,6,14,1.0
7,7,14,1.0
8,8,13,0.9659258262890682
9,9,13,0.9659258262890682
10,10,13,0.9659258262890682
11,11,13,0.9659258262890682
12,12,13,0.9659258262890682
13,13,13,0.9659258262890682
14,14,13,0.9659258262890682
15,15,12,0.8660254037844387
16,16,12,0.8660254037844387
17,17,12,0.8660254037844387
18,18,12,0.8660254037844387
19,19,12,0.8660254037844387
20,20,12,0.8660254037844387
21,21,12,0.8660254037844387
22,22,12,0.8660254037844387
23,23,11,0.7071067811865472
24,24,11,0.7071067811865472
25,25,11,0.7071067811865472
26,26,11,0.7071067811865472
27,27,11,0.7071067811865472
28,28,11,0.7071067811865472
29,29,11,0.7071067811865472
30,30,10,0.5
31,31,10,0.5
32,32,10,0.5
33,33,10,0.5
34,34,10,0.5
35,35,10,0.5
36,36,10,0.5
37,37,9,0.25881904510252063
38,38,9,0.25881904510252063
39,39,9,0.25881904510252063
40,40,9,0.25881904510252063
41,41,9,0.25881904510252063
42,42,9,0.25881904510252063
43,43,8,-3.33066907387547e-16
44,44,8,-3.33066907387547e-16
45,45,8,-3.33066907387547e-16
46,46,8,-3.33066907387547e-16
47,47,8,-3.33066907387547e-16
48,48,8,-3.33066907387547e-16
49,49,7,-0.25881904510252085
50,50,7,-0.25881904510252085
51,51,7,-0.25881904510252085
52,52,7,-0.25881904510252085
53,53,7,-0.25881904510252085
54,54,7,-0.25881904510252085
55,55,6,-0.49999999999999994
56,56,6,-0.49999999999999994
57,57,6,-0.49999999999999994
58,58,6,-0.49999999999999994
59,59,6,-0.49999999999999994
60,60,6,-0.49999999999999994
61,61,5,-0.7071067811865477
62,62,5,-0.7071067811865477
63,63,5,-0.7071067811865477
64,64,5,-0.7071067811865477
65,65,5,-0.7071067811865477
66,66,5,-0.7071067811865477
67,67,4,-0.8660254037844388
68,68,4,-0.8660254037844388
69,69,4,-0.8660254037844388
70,70,4,-0.8660254037844388
71,71,4,-0.8660254037844388
72,72,3,-0.9659258262890683
73,73,3,-0.9659258262890683
74,74,3,-0.9659258262890683
75,75,3,-0.9659258262890683
76,76,3,-0.9659258262890683
77,77,2,-1.0
78,78,2,-1.0
79,79,2,-1.0
80,80,2,-1.0
81,81,2,-1.0
82,82,1,-0.9659258262890682
83,83,1,-0.9659258262890682
84,84,1,-0.9659258262890682
85,85,1,-0.9659258262890682
86,86,1,-0.9659258262890682
87,87,0,-0.8660254037844386
88,88,0,-0.8660254037844386
89,89,0,-0.8660254037844386
90,90,0,-0.8660254037844386
91,91,23,-0.7071067811865475
92,92,23,-0.7071067811865475
93,93,23,-0.7071067811865475
