x1,x2,peak,cosineSim
0,0,16,1.0
1,1,14,0.866025403784439
2,2,13,0.7071067811865479
3,3,11,0.258819045102521
4,4,7,-0.707106781186547
5,5,5,-0.9659258262890681
6,6,3,-0.9659258262890684
7,7,2,-0.8660254037844388
8,8,0,-0.5000000000000004
9,9,23,-0.25881904510252135
10,10,21,0.25881904510252046
11,11,19,0.7071067811865475
12,12,18,0.8660254037844385
13,13,17,0.9659258262890684
14,14,15,0.9659258262890684
15,15,14,0.866025403784439
16,16,13,0.7071067811865479
17,17,11,0.258819045102521
18,18,10,6.106226635438361e-16
19,19,6,-0.8660254037844383
20,20,4,-1.0
21,21,3,-0.9659258262890684
22,22,1,-0.7071067811865479
23,23,0,-0.5000000000000004
24,24,23,-0.25881904510252135
25,25,21,0.25881904510252046
26,26,20,0.4999999999999994
27,27,19,0.7071067811865475
28,28,18,0.8660254037844385
29,29,17,0.9659258262890684
30,30,16,1.0
31,31,15,0.9659258262890684
32,32,14,0.866025403784439
33,33,13,0.7071067811865479
34,34,12,0.5000000000000008
35,35,11,0.258819045102521
36,36,8,-0.4999999999999997
37,37,5,-0.9659258262890681
38,38,4,-1.0
39,39,2,-0.8660254037844388
40,40,1,-0.7071067811865479
41,41,0,-0.5000000000000004
42,42,22,0.0
43,43,21,0.25881904510252046
44,44,19,0.7071067811865475
45,45,18,0.8660254037844385
46,46,17,0.9659258262890684
47,47,15,0.9659258262890684
48,48,14,0.866025403784439
49,49,13,0.7071067811865479
50,50,12,0.5000000000000008
51,51,10,6.106226635438361e-16
52,52,8,-0.4999999999999997
53,53,5,-0.9659258262890681
54,54,4,-1.0
55,55,3,-0.9659258262890684
56,56,1,-0.7071067811865479
57,57,0,-0.5000000000000004
58,58,23,-0.25881904510252135
59,59,21,0.25881904510252046
60,60,19,0.7071067811865475
61,61,18,0.8660254037844385
62,62,16,1.0
63,63,15,0.9659258262890684
64,64,13,0.7071067811865479
65,65,13,0.7071067811865479
66,66,11,0.258819045102521
67,67,7,-0.707106781186547
68,68,5,-0.9659258262890681
69,69,3,-0.9659258262890684
70,70,1,-0.7071067811865479
71,71,0,-0.5000000000000004
72,72,22,0.0
73,73,21,0.25881904510252046
74,74,19,0.7071067811865475
75,75,17,0.9659258262890684
76,76,16,1.0
77,77,15,0.9659258262890684
78,78,13,0.7071067811865479
79,79,12,0.5000000000000008
80,80,11,0.258819045102521
81,81,7,-0.707106781186547
82,82,5,-0.9659258262890681
83,83,3,-0.9659258262890684
84,84,2,-0.8660254037844388
85,85,1,-0.7071067811865479
86,86,23,-0.25881904510252135
87,87,22,0.0
88,88,20,0.4999999999999994
89,89,19,0.7071067811865475
90,90,18,0.8660254037844385
91,91,17,0.9659258262890684
92,92,16,1.0
93,93,16,1.0
94,94,15,0.9659258262890684
95,95,14,0.866025403784439
96,96,13,0.7071067811865479
97,97,11,0.258819045102521
98,98,10,6.106226635438361e-16
99,99,8,-0.4999999999999997
100,100,6,-0.8660254037844383
101,101,4,-1.0
102,102,3,-0.9659258262890684
103,103,2,-0.8660254037844388
104,104,0,-0.5000000000000004
105,105,23,-0.25881904510252135
106,106,22,0.0
107,107,21,0.25881904510252046
108,108,20,0.4999999999999994
109,109,18,0.8660254037844385
110,110,17,0.9659258262890684
111,111,16,1.0
112,112,15,0.9659258262890684
113,113,14,0.866025403784439
114,114,13,0.7071067811865479
115,115,12,0.5000000000000008
116,116,8,-0.4999999999999997
117,117,7,-0.707106781186547
118,118,5,-0.9659258262890681
119,119,3,-0.9659258262890684
120,120,2,-0.8660254037844388
121,121,1,-0.7071067811865479
122,122,0,-0.5000000000000004
123,123,23,-0.25881904510252135
124,124,21,0.25881904510252046
125,125,20,0.4999999999999994
126,126,19,0.7071067811865475
127,127,18,0.8660254037844385
128,128,16,1.0
129,129,15,0.9659258262890684
130,130,14,0.866025403784439
131,131,13,0.7071067811865479
132,132,12,0.5000000000000008
133,133,11,0.258819045102521
134,134,6,-0.8660254037844383
135,135,5,-0.9659258262890681
136,136,3,-0.9659258262890684
137,137,2,-0.8660254037844388
138,138,1,-0.7071067811865479
139,139,0,-0.5000000000000004
140,140,22,0.0
141,141,21,0.25881904510252046
142,142,20,0.4999999999999994
143,143,19,0.7071067811865475
144,144,17,0.9659258262890684
145,145,16,1.0
146,146,15,0.9659258262890684
147,147,14,0.866025403784439
148,148,12,0.5000000000000008
149,149,11,0.258819045102521
150,150,8,-0.4999999999999997
151,151,6,-0.8660254037844383
152,152,4,-1.0
153,153,3,-0.9659258262890684
154,154,2,-0.8660254037844388
155,155,0,-0.5000000000000004
156,156,23,-0.25881904510252135
157,157,22,0.0
158,158,20,0.4999999999999994
159,159,19,0.7071067811865475
160,160,17,0.9659258262890684
161,161,16,1.0
162,162,15,0.9659258262890684
163,163,14,0.866025403784439
164,164,13,0.7071067811865479
165,165,11,0.258819045102521
166,166,9,-0.2588190451025203
167,167,6,-0.8660254037844383
168,168,4,-1.0
169,169,3,-0.9659258262890684
170,170,1,-0.7071067811865479
171,171,23,-0.25881904510252135
172,172,21,0.25881904510252046
173,173,20,0.4999999999999994
174,174,18,0.8660254037844385
175,175,17,0.9659258262890684
176,176,15,0.9659258262890684
177,177,14,0.866025403784439
178,178,13,0.7071067811865479
179,179,11,0.258819045102521
180,180,8,-0.4999999999999997
181,181,5,-0.9659258262890681
182,182,3,-0.9659258262890684
183,183,2,-0.8660254037844388
184,184,1,-0.7071067811865479
185,185,23,-0.25881904510252135
186,186,21,0.25881904510252046
187,187,20,0.4999999999999994
188,188,18,0.8660254037844385
189,189,17,0.9659258262890684
190,190,16,1.0
191,191,14,0.866025403784439
192,192,14,0.866025403784439
193,193,12,0.5000000000000008
194,194,9,-0.2588190451025203
195,195,6,-0.8660254037844383
196,196,4,-1.0
197,197,3,-0.9659258262890684
198,198,1,-0.7071067811865479
199,199,0,-0.5000000000000004
