,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,key
0,0,1,2,2,3,4,1,0,0,1,0,1,1,1,2,5,36,0,1,2,3,1,1,2,0
1,3,3,4,1,2,0,1,2,0,3,0,1,2,3,5,20,4,2,2,1,3,4,2,2,70
2,3,2,2,3,2,1,2,1,0,2,1,2,4,5,21,4,3,1,1,0,4,1,2,3,140
3,2,5,0,3,0,2,1,2,0,1,0,1,4,22,5,3,0,2,2,1,6,1,6,1,210
4,5,4,2,2,1,1,4,1,1,0,1,11,16,4,1,4,0,2,1,1,1,3,0,4,280
5,3,1,3,2,0,2,0,2,0,2,14,4,4,2,2,4,2,5,2,6,1,2,6,1,350
6,0,3,1,1,0,2,3,20,7,6,3,2,2,6,0,2,0,3,2,3,0,3,0,1,420
7,3,2,2,2,4,12,18,1,2,3,2,1,2,3,0,0,1,0,0,3,0,3,3,3,490
8,2,2,2,5,22,7,1,2,0,2,0,1,3,2,3,2,3,0,1,1,1,5,1,2,560
9,2,1,12,16,0,1,1,2,1,0,1,2,2,2,1,3,2,4,3,3,3,1,5,2,630
10,0,7,36,2,0,0,1,0,1,2,1,1,3,1,0,2,3,2,2,1,0,2,2,1,700
11,8,23,4,1,3,1,2,1,1,2,1,1,2,2,0,1,0,2,2,1,2,2,5,3,770
12,15,4,6,1,1,3,0,0,1,0,0,0,2,4,2,2,3,0,3,3,1,4,4,11,840
13,3,2,2,1,1,1,1,1,0,1,0,1,2,0,0,1,1,3,3,2,3,2,13,26,910
14,2,2,0,1,0,1,1,0,2,0,2,1,1,2,4,0,1,2,6,5,6,17,12,2,980
15,2,0,0,0,1,2,0,0,1,2,0,0,2,1,1,2,2,4,5,10,19,13,1,2,1050
16,1,1,1,2,0,0,0,1,1,0,0,0,2,2,4,1,2,3,2,25,15,3,3,1,1120
17,2,5,0,0,2,1,2,3,0,1,0,0,2,2,2,4,0,5,25,11,3,0,0,0,1190
18,1,2,0,1,0,1,2,2,0,0,1,1,0,1,4,1,3,19,23,2,3,0,1,2,1260
19,1,3,3,1,1,1,1,1,2,0,1,0,3,2,1,5,20,16,4,1,0,0,2,1,1330
20,1,0,2,2,1,4,0,1,0,0,1,0,1,3,1,20,21,2,3,1,1,3,2,0,1400
21,2,0,2,1,1,2,0,1,1,1,1,1,1,3,17,20,4,2,1,1,7,0,1,0,1470
22,1,2,2,3,0,0,1,1,0,0,2,0,4,11,21,5,6,4,2,4,0,1,0,0,1540
23,4,5,3,4,0,2,1,0,0,0,0,2,1,25,3,1,1,3,4,0,5,3,1,2,1610
24,3,1,2,1,4,0,2,1,0,0,2,12,21,5,2,2,2,1,2,3,0,2,1,1,1680
25,1,3,1,2,0,1,2,3,2,0,10,17,2,1,3,1,1,2,3,1,5,3,3,3,1750
26,2,4,3,1,2,1,2,3,10,6,6,3,2,4,1,4,2,2,2,1,0,5,3,1,1820
27,1,2,2,2,2,5,11,17,1,1,3,1,1,2,1,0,1,2,2,1,4,4,2,2,1890
28,1,2,3,3,7,15,9,2,2,1,3,0,0,1,1,2,2,3,2,4,0,2,3,2,1960
29,1,3,5,15,15,2,1,0,0,1,1,0,0,2,1,5,1,2,1,2,3,5,1,3,2030
30,2,2,7,27,5,0,1,0,1,0,0,1,1,0,1,3,0,4,4,4,3,2,0,2,2100
31,0,7,31,1,3,0,2,2,1,0,0,1,0,3,0,2,1,2,1,2,0,3,3,5,2170
32,5,25,3,1,0,0,1,0,1,1,0,1,3,2,1,3,2,2,3,7,1,4,3,1,2240
33,28,13,1,2,0,0,1,1,0,2,0,1,1,2,1,0,4,2,1,2,0,1,1,6,2310
34,9,2,3,1,0,0,1,0,0,0,0,2,3,2,0,1,2,2,7,1,2,4,1,27,2380
35,1,5,4,2,1,2,1,1,0,0,0,0,1,0,2,2,5,0,2,4,2,6,24,5,2450
36,2,0,0,6,3,3,1,1,1,1,0,0,1,1,2,5,1,4,1,2,2,20,11,2,2520
37,1,3,2,1,1,2,2,1,2,0,1,1,1,4,2,2,1,0,1,3,24,10,2,3,2590
38,2,2,2,2,4,1,2,1,0,1,1,2,1,1,2,1,2,3,2,10,20,5,0,3,2660
39,1,4,2,0,1,1,0,0,0,0,2,0,4,1,2,5,3,2,2,29,5,3,2,1,2730
40,1,1,2,4,0,3,3,2,3,1,0,0,0,2,0,0,3,4,27,3,3,6,1,1,2800
41,3,3,1,2,3,2,0,1,0,1,0,2,0,2,1,4,4,23,5,2,6,1,1,3,2870
42,1,3,2,1,4,1,2,2,2,1,0,1,1,2,1,2,17,12,3,2,3,3,2,2,2940
43,0,2,2,3,1,1,5,0,4,1,2,0,2,2,3,4,20,2,2,4,3,5,1,1,3010
44,6,0,2,3,2,0,2,2,1,1,2,2,1,3,2,25,1,1,2,1,3,2,3,3,3080
45,4,3,1,3,3,2,2,2,3,0,1,0,1,2,7,15,4,4,4,2,1,0,2,4,3150
46,1,1,1,1,3,3,0,3,4,1,3,0,1,1,18,5,4,3,4,4,2,5,2,0,3220
47,1,3,2,6,3,1,0,0,1,1,0,0,4,11,9,6,3,0,5,4,6,3,1,0,3290
48,0,1,1,3,0,3,0,3,0,3,0,2,11,22,6,3,2,4,2,1,2,0,0,1,3360
49,1,4,1,1,0,0,1,3,1,2,2,10,18,4,1,5,2,1,2,2,3,4,0,2,3430
